name,valid housing contract,missing payment plan,reduced aid,SAP warning,on-campus job,work restriction,late fees,meal plan cancellation,course withdrawal after deadline,missed financial advising appointments,dropped gpa,first-gen student,transfer student,prior emergency aid usage,student returning from break,risk score
Student 001,Yes,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,64
Student 002,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,0
Student 003,Yes,No,Yes,No,Yes,No,No,No,No,No,Yes,No,Yes,No,Yes,43
Student 004,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,0
Student 005,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,62
Student 006,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,0
Student 007,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,53
Student 008,No,Yes,Yes,No,Yes,No,Yes,No,No,Yes,Yes,Yes,No,Yes,No,14
Student 009,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,68
Student 010,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0
Student 011,Yes,No,Yes,No,Yes,No,No,No,No,No,No,Yes,No,No,Yes,52
Student 012,No,No,No,No,Yes,No,No,No,No,No,No,Yes,Yes,No,Yes,45
Student 013,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,0
Student 014,Yes,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,Yes,59
Student 015,No,Yes,No,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,No,0
Student 016,Yes,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,64
Student 017,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,0
Student 018,Yes,No,Yes,No,Yes,No,No,No,No,No,Yes,No,Yes,No,Yes,43
Student 019,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,0
Student 020,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,62
Student 021,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,0
Student 022,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,53
Student 023,No,Yes,Yes,No,Yes,No,Yes,No,No,Yes,Yes,Yes,No,Yes,No,14
Student 024,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,68
Student 025,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0
Student 026,Yes,No,Yes,No,Yes,No,No,No,No,No,No,Yes,No,No,Yes,52
Student 027,No,No,No,No,Yes,No,No,No,No,No,No,Yes,Yes,No,Yes,45
Student 028,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,0
Student 029,Yes,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,Yes,59
Student 030,No,Yes,No,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,No,0
Student 031,Yes,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,64
Student 032,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,0
Student 033,Yes,No,Yes,No,Yes,No,No,No,No,No,Yes,No,Yes,No,Yes,43
Student 034,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,0
Student 035,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,62
Student 036,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,0
Student 037,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,53
Student 038,No,Yes,Yes,No,Yes,No,Yes,No,No,Yes,Yes,Yes,No,Yes,No,14
Student 039,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,68
Student 040,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0
Student 041,Yes,No,Yes,No,Yes,No,No,No,No,No,No,Yes,No,No,Yes,52
Student 042,No,No,No,No,Yes,No,No,No,No,No,No,Yes,Yes,No,Yes,45
Student 043,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,0
Student 044,Yes,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,Yes,59
Student 045,No,Yes,No,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,No,0
Student 046,Yes,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,64
Student 047,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,0
Student 048,Yes,No,Yes,No,Yes,No,No,No,No,No,Yes,No,Yes,No,Yes,43
Student 049,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,0
Student 050,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,62
