name,valid housing contract,missing payment plan,reduced aid,SAP warning,on-campus job,work restriction,late fees,meal plan cancellation,course withdrawal after deadline,missed financial advising appointments,dropped gpa,first-gen student,transfer student,prior emergency aid usage,student returning from break,risk score
Student 001,Yes,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,16
Student 002,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,88
Student 003,Yes,No,Yes,No,Yes,No,No,No,No,No,Yes,No,Yes,No,Yes,34
Student 004,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,91
Student 005,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,11
Student 006,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,90
Student 007,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,19
Student 008,No,Yes,Yes,No,Yes,No,Yes,No,No,Yes,Yes,Yes,No,Yes,No,57
Student 009,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,7
Student 010,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,99
Student 011,Yes,No,Yes,No,Yes,No,No,No,No,No,No,Yes,No,No,Yes,26
Student 012,No,No,No,No,Yes,No,No,No,No,No,No,Yes,Yes,No,Yes,14
Student 013,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,86
Student 014,Yes,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,Yes,13
Student 015,No,Yes,No,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,No,71
Student 016,Yes,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,17
Student 017,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,89
Student 018,Yes,No,Yes,No,Yes,No,No,No,No,No,Yes,No,Yes,No,Yes,33
Student 019,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,92
Student 020,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,10
Student 021,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,91
Student 022,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,20
Student 023,No,Yes,Yes,No,Yes,No,Yes,No,No,Yes,Yes,Yes,No,Yes,No,56
Student 024,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,8
Student 025,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,98
Student 026,Yes,No,Yes,No,Yes,No,No,No,No,No,No,Yes,No,No,Yes,27
Student 027,No,No,No,No,Yes,No,No,No,No,No,No,Yes,Yes,No,Yes,15
Student 028,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,84
Student 029,Yes,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,Yes,14
Student 030,No,Yes,No,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,No,70
Student 031,Yes,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,16
Student 032,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,87
Student 033,Yes,No,Yes,No,Yes,No,No,No,No,No,Yes,No,Yes,No,Yes,35
Student 034,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,93
Student 035,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,11
Student 036,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,92
Student 037,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,19
Student 038,No,Yes,Yes,No,Yes,No,Yes,No,No,Yes,Yes,Yes,No,Yes,No,55
Student 039,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,7
Student 040,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,99
Student 041,Yes,No,Yes,No,Yes,No,No,No,No,No,No,Yes,No,No,Yes,26
Student 042,No,No,No,No,Yes,No,No,No,No,No,No,Yes,Yes,No,Yes,14
Student 043,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,85
Student 044,Yes,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,Yes,13
Student 045,No,Yes,No,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,No,72
Student 046,Yes,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,16
Student 047,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,88
Student 048,Yes,No,Yes,No,Yes,No,No,No,No,No,Yes,No,Yes,No,Yes,34
Student 049,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,94
Student 050,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,11
